Year,Total,Minor,Major,Ocean
1851,6,5,1,0
1852,5,4,1,0
1853,8,6,2,0
1854,5,4,1,0
1855,5,4,1,0
1856,6,4,2,0
1857,4,4,0,0
1858,6,6,0,0
1859,8,7,1,0
1860,7,6,1,0
1861,8,8,0,0
1862,6,6,0,0
1863,9,9,0,0
1864,5,5,0,0
1865,7,7,0,0
1866,7,6,1,0
1867,9,8,1,0
1868,4,4,0,0
1869,10,9,1,0
1870,11,9,2,0
1871,8,6,2,0
1872,5,5,0,0
1873,5,3,2,0
1874,7,7,0,0
1875,6,5,1,0
1876,5,3,2,0
1877,8,7,1,0
1878,12,10,2,0
1879,8,6,2,0
1880,11,9,2,0.98
1881,7,7,0,1.01
1882,6,4,2,1
1883,4,2,2,0.96
1884,4,3,1,0.86
1885,8,8,0,0.83
1886,12,8,4,0.83
1887,19,17,2,0.77
1888,9,6,3,0.95
1889,9,8,1,0.97
1890,4,3,1,0.71
1891,10,9,1,0.85
1892,9,9,0,0.77
1893,12,7,5,0.76
1894,7,2,5,0.73
1895,6,5,1,0.83
1896,7,5,2,1
1897,6,6,0,0.97
1898,11,9,2,0.78
1899,10,7,3,0.87
1900,7,5,2,0.95
1901,13,13,0,0.83
1902,5,5,0,0.76
1903,10,8,2,0.63
1904,6,6,0,0.54
1905,5,4,1,0.75
1906,11,8,3,0.78
1907,5,5,0,0.71
1908,10,8,2,0.57
1909,12,8,4,0.55
1910,5,3,2,0.58
1911,6,6,0,0.57
1912,7,6,1,0.72
1913,6,6,0,0.68
1914,1,1,0,0.83
1915,6,3,3,0.9
1916,15,8,7,0.74
1917,4,2,2,0.71
1918,6,4,2,0.79
1919,5,4,1,0.79
1920,5,4,1,0.82
1921,7,5,2,0.83
1922,5,3,2,0.76
1923,9,8,1,0.76
1924,11,8,3,0.76
1925,4,4,0,0.81
1926,11,5,6,0.9
1927,8,6,2,0.84
1928,6,5,1,0.8
1929,5,4,1,0.73
1930,3,1,2,0.89
1931,13,12,1,0.92
1932,15,11,4,0.83
1933,20,12,8,0.78
1934,13,12,1,0.87
1935,8,5,3,0.85
1936,17,15,2,0.88
1937,11,10,1,0.99
1938,9,7,2,0.9
1939,6,5,1,0.97
1940,9,8,1,1.2
1941,6,3,3,1.35
1942,11,8,3,1.13
1943,10,7,3,1.12
1944,14,11,3,1.32
1945,11,9,2,1.3
1946,7,7,0,0.99
1947,10,7,3,0.93
1948,10,6,4,0.9
1949,16,12,4,0.92
1950,16,8,8,0.91
1951,12,9,3,1.02
1952,11,8,3,1.08
1953,14,11,3,1.1
1954,16,12,4,0.91
1955,13,8,5,0.87
1956,12,11,1,0.9
1957,8,6,2,1.11
1958,12,7,5,1.12
1959,14,12,2,1.08
1960,8,6,2,1.07
1961,11,4,7,1.09
1962,5,3,2,1.09
1963,9,6,3,1.08
1964,12,6,6,0.89
1965,6,5,1,0.95
1966,11,8,3,1
1967,26,24,2,0.99
1968,15,15,0,1.01
1969,29,24,5,1.17
1970,19,17,2,1.06
1971,22,20,2,0.91
1972,19,19,0,1.11
1973,17,16,1,1.14
1974,20,17,3,0.98
1975,23,19,4,0.96
1976,21,19,2,0.99
1977,15,14,1,1.19
1978,24,22,2,1.12
1979,20,18,2,1.24
1980,18,16,2,1.26
1981,22,19,3,1.25
1982,8,7,1,1.22
1983,6,5,1,1.3
1984,20,19,1,1.2
1985,14,11,3,1.17
1986,10,10,0,1.21
1987,14,13,1,1.36
1988,19,16,3,1.32
1989,15,13,2,1.27
1990,16,15,1,1.37
1991,12,10,2,1.33
1992,10,7,3,1.23
1993,10,9,1,1.25
1994,12,11,1,1.29
1995,21,14,7,1.35
1996,13,7,6,1.31
1997,9,8,1,1.46
1998,14,11,3,1.52
1999,16,10,6,1.31
2000,19,16,3,1.34
2001,17,13,4,1.46
2002,14,12,2,1.49
2003,21,18,3,1.52
2004,16,9,7,1.49
2005,31,24,7,1.5
2006,10,8,2,1.5
2007,17,15,2,1.43
2008,17,12,5,1.41
2009,11,9,2,1.54
2010,21,15,6,1.56
2011,20,16,4,1.44
2012,19,16,3,1.51
2013,15,15,0,1.53
2014,9,7,2,1.63
2015,12,10,2,1.75
2016,16,12,4,1.79
2017,18,11,7,1.72